model,noise,pdb_id,sample,score_nll,seq_recovery,perplexity
fullbackbone,0.1,1UBI,8,0.7846,0.5395,2.1915301533260942
fullbackbone,0.1,1UBQ,1,0.8351,0.5132,2.3050445412162954
fullbackbone,0.1,1UBQ,2,0.8544,0.5395,2.349963979109309
fullbackbone,0.1,1UBQ,3,0.957,0.5658,2.6038731248931537
fullbackbone,0.1,1UBQ,4,0.8088,0.5,2.2452121149390067
fullbackbone,0.1,1UBQ,5,0.9389,0.5395,2.557166986990134
fullbackbone,0.1,1UBQ,6,0.8376,0.5921,2.310814361840001
fullbackbone,0.1,1UBQ,7,0.8344,0.5526,2.3034315746416083
fullbackbone,0.1,1UBQ,8,0.8492,0.5132,2.3377758829318327
fullbackbone,0.1,1VII,1,1.0934,0.1667,2.984403815213969
fullbackbone,0.1,1VII,2,1.1634,0.1944,3.200797507983279
fullbackbone,0.1,1VII,3,1.1152,0.2222,3.0501781538139494
fullbackbone,0.1,1VII,4,1.1225,0.2222,3.0725259244570022
fullbackbone,0.1,1VII,5,1.0759,0.1667,2.932631081147381
fullbackbone,0.1,1VII,6,1.2172,0.1667,3.37771687335919
fullbackbone,0.1,1VII,7,1.1536,0.2222,3.1695828938349315
fullbackbone,0.1,1VII,8,1.1602,0.2222,3.1905713265743265
fullbackbone,0.1,2ACY,1,0.9198,0.4286,2.5087885820407725
fullbackbone,0.1,2ACY,2,0.953,0.449,2.593478435631686
fullbackbone,0.1,2ACY,3,0.9199,0.4286,2.509039473443338
fullbackbone,0.1,2ACY,4,0.9631,0.4286,2.6198052946698485
fullbackbone,0.1,2ACY,5,0.9333,0.4286,2.5428868734994405
fullbackbone,0.1,2ACY,6,0.9385,0.4694,2.5561443247414233
fullbackbone,0.1,2ACY,7,0.9459,0.4286,2.575129952931141
fullbackbone,0.1,2ACY,8,0.9456,0.4592,2.5743575298145225
fullbackbone,0.1,2CI2,1,0.9332,0.5846,2.5426325975261013
fullbackbone,0.1,2CI2,2,0.8443,0.5538,2.326348800321541
fullbackbone,0.1,2CI2,3,0.9369,0.5846,2.552057763942276
fullbackbone,0.1,2CI2,4,0.8976,0.5846,2.453707141683606
fullbackbone,0.1,2CI2,5,0.8855,0.5538,2.424196186604827
fullbackbone,0.1,2CI2,6,0.9398,0.5077,2.559469473241821
fullbackbone,0.1,2CI2,7,0.8674,0.5077,2.3807129460762835
fullbackbone,0.1,2CI2,8,0.8253,0.5231,2.282565432253806
fullbackbone,0.1,2CRO,1,0.9088,0.5231,2.4813431343417087
fullbackbone,0.1,2CRO,2,0.8669,0.4923,2.3795228871427714
fullbackbone,0.1,2CRO,3,0.8704,0.4769,2.3878658088440177
fullbackbone,0.1,2CRO,4,0.8914,0.4615,2.4385412203427945
fullbackbone,0.1,2CRO,5,0.904,0.4308,2.46946122668849
fullbackbone,0.1,2CRO,6,0.8893,0.4769,2.4334256570015524
fullbackbone,0.1,2CRO,7,0.8872,0.4615,2.4283208250714012
fullbackbone,0.1,2CRO,8,0.8634,0.4615,2.3712091146266494
fullbackbone,0.1,2GB1,1,1.1479,0.3036,3.151567663522672
fullbackbone,0.1,2GB1,2,1.0483,0.3571,2.852797238129376
fullbackbone,0.1,2GB1,3,1.0765,0.3393,2.9343911877752547
fullbackbone,0.1,2GB1,4,1.0177,0.3036,2.766823745486986
fullbackbone,0.1,2GB1,5,1.0376,0.2679,2.8224350351475107
fullbackbone,0.1,2GB1,6,0.936,0.3036,2.5497619452281173
fullbackbone,0.1,2GB1,7,1.0216,0.3036,2.777635427169864
fullbackbone,0.1,2GB1,8,1.0431,0.3393,2.8380011955422306
fullbackbone,0.1,2LZM,1,0.814,0.622,2.2569176258887524
fullbackbone,0.1,2LZM,2,0.849,0.622,2.3373083745076473
fullbackbone,0.1,2LZM,3,0.8297,0.622,2.292630847831128
fullbackbone,0.1,2LZM,4,0.8502,0.5793,2.3401148280924327
fullbackbone,0.1,2LZM,5,0.8748,0.5915,2.3983955668826122
fullbackbone,0.1,2LZM,6,0.858,0.6098,2.3584390954904646
fullbackbone,0.1,2LZM,7,0.8449,0.5915,2.3277450284282786
fullbackbone,0.1,2LZM,8,0.8506,0.5793,2.34105106125782
fullbackbone,0.1,2PCY,1,0.7599,0.5556,2.138062403565794
fullbackbone,0.1,2PCY,2,0.8302,0.4949,2.2937774498816688
fullbackbone,0.1,2PCY,3,0.7855,0.4848,2.1935034183001307
fullbackbone,0.1,2PCY,4,0.8035,0.5758,2.233343969097648
fullbackbone,0.1,2PCY,5,0.7862,0.5657,2.1950394082266955
fullbackbone,0.1,2PCY,6,0.8102,0.5253,2.248357613234964
fullbackbone,0.1,2PCY,7,0.7982,0.5455,2.2215385580352325
fullbackbone,0.1,2PCY,8,0.7624,0.5354,2.1434142465910715
fullbackbone,0.1,2PTL,1,1.3231,0.2179,3.7550439892712135
fullbackbone,0.1,2PTL,2,1.2717,0.2308,3.566911160060462
fullbackbone,0.1,2PTL,3,1.3079,0.1667,3.6983989138101157
fullbackbone,0.1,2PTL,4,1.2646,0.2051,3.541675782424168
fullbackbone,0.1,2PTL,5,1.2161,0.1795,3.3740034275681188
fullbackbone,0.1,2PTL,6,1.1187,0.2179,3.0608724815086403
fullbackbone,0.1,2PTL,7,1.1906,0.2308,3.2890540479005184
fullbackbone,0.1,2PTL,8,1.2774,0.1923,3.5873006083961623
fullbackbone,0.1,3CHY,1,0.8614,0.4688,2.3664714356555936
fullbackbone,0.1,3CHY,2,0.8924,0.4766,2.4409809812402727
fullbackbone,0.1,3CHY,3,0.8935,0.4609,2.4436675376547705
fullbackbone,0.1,3CHY,4,0.8821,0.5,2.415967915557717
fullbackbone,0.1,3CHY,5,0.8921,0.5312,2.440248796779061
fullbackbone,0.1,3CHY,6,0.8742,0.4766,2.3969569611673553
fullbackbone,0.1,3CHY,7,0.8707,0.4297,2.3885822760513786
fullbackbone,0.1,3CHY,8,0.8134,0.4219,2.2555638814771553
fullbackbone,0.1,3PGK,1,1.2271,0.2072,3.4113223430079826
fullbackbone,0.1,3PGK,2,1.2074,0.2048,3.3447769174134296
fullbackbone,0.1,3PGK,3,1.2579,0.2096,3.518025870357662
fullbackbone,0.1,3PGK,4,1.1732,0.2072,3.2323195291845623
fullbackbone,0.1,3PGK,5,1.2384,0.1976,3.450088904046201
fullbackbone,0.1,3PGK,6,1.2247,0.2096,3.4031449861381375
fullbackbone,0.1,3PGK,7,1.2319,0.188,3.427736051640831
fullbackbone,0.1,3PGK,8,1.2104,0.212,3.354826314724589
fullbackbone,0.1,4HHB,1,0.8397,0.4913,2.3156721709141483
fullbackbone,0.1,4HHB,2,0.8397,0.4913,2.3156721709141483
fullbackbone,0.1,4HHB,3,0.8486,0.4704,2.3363736381175855
fullbackbone,0.1,4HHB,4,0.8408,0.5,2.318220811797652
fullbackbone,0.1,4HHB,5,0.8158,0.4965,2.260983736016618
fullbackbone,0.1,4HHB,6,0.8344,0.5017,2.3034315746416083
fullbackbone,0.1,4HHB,7,0.8583,0.5017,2.3591467333594847
fullbackbone,0.1,4HHB,8,0.8449,0.4895,2.3277450284282786
fullbackbone,0.2,1AKI,1,0.9381,0.5194,2.55512207147581
fullbackbone,0.2,1AKI,2,1.0263,0.5349,2.790721040781124
fullbackbone,0.2,1AKI,3,1.0105,0.4961,2.7469741587817587
fullbackbone,0.2,1AKI,4,0.9498,0.5426,2.585192569094729
fullbackbone,0.2,1AKI,5,1.0228,0.5349,2.780970590380174
fullbackbone,0.2,1AKI,6,0.9886,0.5116,2.687469380267396
fullbackbone,0.2,1AKI,7,0.8664,0.5349,2.3783334230899937
fullbackbone,0.2,1AKI,8,0.8954,0.5426,2.4483149195910667
fullbackbone,0.2,1BPI,1,0.9885,0.4828,2.687200646766268
fullbackbone,0.2,1BPI,2,1.3595,0.4138,3.8942456920873187
fullbackbone,0.2,1BPI,3,1.1608,0.4483,3.192486243787988
fullbackbone,0.2,1BPI,4,1.1669,0.5,3.21201992703835
fullbackbone,0.2,1BPI,5,1.0739,0.4828,2.9267716803390282
fullbackbone,0.2,1BPI,6,1.2192,0.4655,3.3844790670455303
fullbackbone,0.2,1BPI,7,1.1775,0.5172,3.246248428832192
fullbackbone,0.2,1BPI,8,1.1717,0.431,3.2274746844327575
fullbackbone,0.2,1CRN,1,0.9296,0.5435,2.53349557668051
fullbackbone,0.2,1CRN,2,0.94,0.5217,2.5599814183292713
fullbackbone,0.2,1CRN,3,1.0951,0.5,2.9894816166081144
fullbackbone,0.2,1CRN,4,0.9481,0.4565,2.580801475214588
fullbackbone,0.2,1CRN,5,0.9573,0.5435,2.604654404016631
fullbackbone,0.2,1CRN,6,1.0417,0.6087,2.8340307738121853
fullbackbone,0.2,1CRN,7,0.984,0.4783,2.6751354109963805
fullbackbone,0.2,1CRN,8,1.082,0.4783,2.9505748034549604
fullbackbone,0.2,1CSP,1,1.1056,0.5373,3.021036547056965
fullbackbone,0.2,1CSP,2,1.1959,0.4776,3.3065323108374924
fullbackbone,0.2,1CSP,3,1.0835,0.5224,2.9550039867171174
fullbackbone,0.2,1CSP,4,1.1072,0.4627,3.0258740745222226
fullbackbone,0.2,1CSP,5,1.1466,0.4627,3.147473287481145
fullbackbone,0.2,1CSP,6,1.0973,0.5075,2.9960657160184168
fullbackbone,0.2,1CSP,7,1.0744,0.4627,2.9282354320866397
fullbackbone,0.2,1CSP,8,1.1155,0.5522,3.051093344531837
fullbackbone,0.2,1ENH,1,1.0847,0.3519,2.958552119955345
fullbackbone,0.2,1ENH,2,1.2818,0.4259,3.6031195071291693
fullbackbone,0.2,1ENH,3,1.077,0.3889,2.935858750229181
fullbackbone,0.2,1ENH,4,1.2095,0.3704,3.3518083293384753
fullbackbone,0.2,1ENH,5,1.1503,0.3519,3.1591405096955687
fullbackbone,0.2,1ENH,6,1.2949,0.3519,3.6506308927982287
fullbackbone,0.2,1ENH,7,1.3033,0.3889,3.6814253479381382
fullbackbone,0.2,1ENH,8,1.3313,0.3704,3.7859619403392246
fullbackbone,0.2,1FKB,1,1.0378,0.5607,2.8229995786070043
fullbackbone,0.2,1FKB,2,0.9881,0.6075,2.6861259814549525
fullbackbone,0.2,1FKB,3,1.1041,0.5047,3.0165083892037994
fullbackbone,0.2,1FKB,4,1.1303,0.5421,3.096585336393223
fullbackbone,0.2,1FKB,5,0.984,0.5327,2.6751354109963805
fullbackbone,0.2,1FKB,6,1.0364,0.514,2.8190501444459413
fullbackbone,0.2,1FKB,7,1.0437,0.5701,2.839704507201955
fullbackbone,0.2,1FKB,8,0.9751,0.6075,2.6514323409599827
fullbackbone,0.2,1HEL,1,0.9662,0.5504,2.627939292265623
fullbackbone,0.2,1HEL,2,0.9662,0.5426,2.627939292265623
fullbackbone,0.2,1HEL,3,0.9778,0.5271,2.6586008814553557
fullbackbone,0.2,1HEL,4,0.9859,0.5039,2.680222999956269
fullbackbone,0.2,1HEL,5,0.9525,0.5581,2.5921820205446506
fullbackbone,0.2,1HEL,6,1.1161,0.5271,3.0529245498452147
fullbackbone,0.2,1HEL,7,0.9012,0.5659,2.462556406513156
fullbackbone,0.2,1HEL,8,1.0302,0.5271,2.8016261038910706
fullbackbone,0.2,1IGD,1,1.0898,0.5082,2.973679277230069
fullbackbone,0.2,1IGD,2,1.2016,0.5082,3.325433361830027
fullbackbone,0.2,1IGD,3,1.0429,0.4918,2.8374336520593624
fullbackbone,0.2,1IGD,4,1.0904,0.5574,2.975464020165745
fullbackbone,0.2,1IGD,5,1.0477,0.541,2.851086073187316
fullbackbone,0.2,1IGD,6,1.1301,0.4754,3.095966081253523
fullbackbone,0.2,1IGD,7,1.1921,0.4918,3.2939913310089595
fullbackbone,0.2,1IGD,8,1.1639,0.541,3.2023983069036506
fullbackbone,0.2,1LZ1,1,1.1807,0.5077,3.256653062339448
fullbackbone,0.2,1LZ1,2,1.1129,0.4923,3.043170805599696
fullbackbone,0.2,1LZ1,3,0.944,0.5308,2.570241851187732
fullbackbone,0.2,1LZ1,4,1.1141,0.5692,3.0468248025260922
fullbackbone,0.2,1LZ1,5,1.0188,0.4692,2.76986892614933
fullbackbone,0.2,1LZ1,6,1.0139,0.5231,2.7563297664420725
fullbackbone,0.2,1LZ1,7,1.0416,0.5154,2.8337473849044854
fullbackbone,0.2,1LZ1,8,0.9813,0.5,2.667922287485402
fullbackbone,0.2,1MBN,1,1.0988,0.3856,3.000563186852294
fullbackbone,0.2,1MBN,2,1.1176,0.3529,3.057507372928015
fullbackbone,0.2,1MBN,3,1.1605,0.3791,3.1915286415623676
fullbackbone,0.2,1MBN,4,1.1529,0.366,3.1673649621758937
fullbackbone,0.2,1MBN,5,1.1542,0.3333,3.1714852142102754
fullbackbone,0.2,1MBN,6,1.2108,0.3464,3.3561685136723733
fullbackbone,0.2,1MBN,7,1.2962,0.3922,3.655379799079145
fullbackbone,0.2,1MBN,8,1.2038,0.3529,3.3327573686795717
fullbackbone,0.2,1PIN,1,1.0821,0.4641,2.9508698756886718
fullbackbone,0.2,1PIN,2,1.0555,0.4575,2.8734115005350316
fullbackbone,0.2,1PIN,3,1.1915,0.451,3.292015529010228
fullbackbone,0.2,1PIN,4,1.1469,0.4444,3.1484176711178518
fullbackbone,0.2,1PIN,5,1.1075,0.4248,3.0267819729225303
fullbackbone,0.2,1PIN,6,1.2477,0.4183,3.4823243935430357
fullbackbone,0.2,1PIN,7,1.1446,0.4183,3.141184631658224
fullbackbone,0.2,1PIN,8,1.091,0.4641,2.977249834268501
fullbackbone,0.2,1R69,1,0.8967,0.4762,2.451499798709425
fullbackbone,0.2,1R69,2,1.1216,0.4444,3.0697618951247616
fullbackbone,0.2,1R69,3,0.9647,0.4921,2.6240003382812667
fullbackbone,0.2,1R69,4,1.0138,0.5079,2.756054147246618
fullbackbone,0.2,1R69,5,0.9942,0.4762,2.7025614270874607
fullbackbone,0.2,1R69,6,0.9216,0.4921,2.5133084681655893
fullbackbone,0.2,1R69,7,0.9742,0.4127,2.6490471253611405
fullbackbone,0.2,1R69,8,1.0062,0.4921,2.73518752931358
fullbackbone,0.2,1RIS,1,1.131,0.4124,3.098753704969158
fullbackbone,0.2,1RIS,2,1.1782,0.3093,3.248521598248849
fullbackbone,0.2,1RIS,3,1.1749,0.3299,3.237819145733752
fullbackbone,0.2,1RIS,4,1.34,0.268,3.819043505366336
fullbackbone,0.2,1RIS,5,1.1534,0.299,3.168949040643597
fullbackbone,0.2,1RIS,6,1.2127,0.3093,3.3625512955710004
fullbackbone,0.2,1RIS,7,1.208,0.3402,3.3467843857441526
fullbackbone,0.2,1RIS,8,1.158,0.3299,3.1835597851793858
fullbackbone,0.2,1SHG,1,1.0275,0.4561,2.7940719161531797
fullbackbone,0.2,1SHG,2,1.1647,0.5263,3.204961250589958
fullbackbone,0.2,1SHG,3,1.1471,0.5439,3.1490474176246264
fullbackbone,0.2,1SHG,4,1.0518,0.4211,2.862799522249376
fullbackbone,0.2,1SHG,5,0.9901,0.4561,2.691503609253118
fullbackbone,0.2,1SHG,6,1.0082,0.4561,2.7406633783960066
fullbackbone,0.2,1SHG,7,1.0467,0.4386,2.848236412182103
fullbackbone,0.2,1SHG,8,0.9848,0.4211,2.677276375596833
fullbackbone,0.2,1STN,1,1.0093,0.4853,2.743679766821724
fullbackbone,0.2,1STN,2,1.1209,0.4191,3.067613813714382
fullbackbone,0.2,1STN,3,1.0757,0.4191,2.9320446135798632
fullbackbone,0.2,1STN,4,1.0165,0.4338,2.763505548308892
fullbackbone,0.2,1STN,5,1.0611,0.4485,2.889547744251071
fullbackbone,0.2,1STN,6,1.0718,0.4632,2.92063190882677
fullbackbone,0.2,1STN,7,1.1317,0.4926,3.10092359193447
fullbackbone,0.2,1STN,8,1.1301,0.4265,3.095966081253523
fullbackbone,0.2,1TIM,1,1.2264,0.2874,3.4089352529468706
fullbackbone,0.2,1TIM,2,1.2362,0.2895,3.4425070515530556
fullbackbone,0.2,1TIM,3,1.1952,0.2915,3.3042185481313324
fullbackbone,0.2,1TIM,4,1.1749,0.2773,3.237819145733752
fullbackbone,0.2,1TIM,5,1.1632,0.2773,3.200157412493365
fullbackbone,0.2,1TIM,6,1.2605,0.3036,3.527184638860206
fullbackbone,0.2,1TIM,7,1.2567,0.2854,3.5138067712789716
fullbackbone,0.2,1TIM,8,1.2226,0.2834,3.396005880351944
fullbackbone,0.2,1TUP,1,1.2143,0.3385,3.367935684005993
fullbackbone,0.2,1TUP,2,1.1307,0.3556,3.097824218287641
fullbackbone,0.2,1TUP,3,1.1483,0.359,3.1528285427471148
fullbackbone,0.2,1TUP,4,1.157,0.335,3.1803778166436385
fullbackbone,0.2,1TUP,5,1.1619,0.3248,3.1959999108187267
fullbackbone,0.2,1TUP,6,1.1794,0.3675,3.252422164038154
fullbackbone,0.2,1TUP,7,1.2088,0.3385,3.349462884509401
fullbackbone,0.2,1TUP,8,1.2097,0.3299,3.352478758044979
fullbackbone,0.2,1UBI,1,0.9591,0.5526,2.609347004016859
fullbackbone,0.2,1UBI,2,1.0154,0.6053,2.7604673635137402
fullbackbone,0.2,1UBI,3,0.9007,0.5921,2.4613254360781536
fullbackbone,0.2,1UBI,4,1.0711,0.5132,2.918588181878475
fullbackbone,0.2,1UBI,5,1.0925,0.5921,2.9817190601012986
fullbackbone,0.2,1UBI,6,0.9522,0.4474,2.5914044825750144
fullbackbone,0.2,1UBI,7,0.926,0.5132,2.524391389973053
fullbackbone,0.2,1UBI,8,0.9383,0.5526,2.555633146995954
fullbackbone,0.2,1UBQ,1,1.0014,0.4737,2.722090088178676
fullbackbone,0.2,1UBQ,2,1.0345,0.5789,2.8136990343358907
fullbackbone,0.2,1UBQ,3,1.146,0.5921,3.145585369940555
fullbackbone,0.2,1UBQ,4,0.9866,0.4605,2.68209981286412
fullbackbone,0.2,1UBQ,5,0.9887,0.4605,2.6877381406432175
fullbackbone,0.2,1UBQ,6,0.9589,0.5263,2.6088251867995167
fullbackbone,0.2,1UBQ,7,0.9572,0.5658,2.604393951599067
fullbackbone,0.2,1UBQ,8,1.101,0.4868,3.007171692554211
fullbackbone,0.2,1VII,1,1.2299,0.1944,3.420887430441622
fullbackbone,0.2,1VII,2,1.2559,0.1944,3.5109968499803306
fullbackbone,0.2,1VII,3,1.1117,0.25,3.039521190839786
fullbackbone,0.2,1VII,4,1.2317,0.25,3.427050572980654
fullbackbone,0.2,1VII,5,1.1051,0.1389,3.019526406350075
fullbackbone,0.2,1VII,6,1.1758,0.1667,3.24073449467515
fullbackbone,0.2,1VII,7,1.2158,0.25,3.3729913783548207
fullbackbone,0.2,1VII,8,1.28,0.25,3.5966397255692817
fullbackbone,0.2,2ACY,1,1.1716,0.3673,3.2271519531011497
fullbackbone,0.2,2ACY,2,1.0554,0.4388,2.873124173751556
fullbackbone,0.2,2ACY,3,1.2257,0.4388,3.4065498332641018
fullbackbone,0.2,2ACY,4,1.3199,0.3776,3.7430470538396197
fullbackbone,0.2,2ACY,5,1.1959,0.449,3.3065323108374924
fullbackbone,0.2,2ACY,6,1.0959,0.4286,2.991874158790672
fullbackbone,0.2,2ACY,7,1.1348,0.398,3.110551370415869
fullbackbone,0.2,2ACY,8,1.229,0.4082,3.41781001679809
fullbackbone,0.2,2CI2,1,1.0117,0.5692,2.7502725063850577
fullbackbone,0.2,2CI2,2,1.033,0.5077,2.8094816496136876
fullbackbone,0.2,2CI2,3,1.1168,0.5385,3.055062345171177
fullbackbone,0.2,2CI2,4,1.0768,0.5385,2.9352716371923964
fullbackbone,0.2,2CI2,5,1.0134,0.5077,2.7549519460426564
fullbackbone,0.2,2CI2,6,1.1586,0.4308,3.1854704942058807
fullbackbone,0.2,2CI2,7,1.0916,0.5385,2.979036720181229
fullbackbone,0.2,2CI2,8,0.9627,0.5077,2.6187575821084623
fullbackbone,0.2,2CRO,1,1.0776,0.5385,2.9376207940396
fullbackbone,0.2,2CRO,2,0.9404,0.4923,2.5610056157224257
fullbackbone,0.2,2CRO,3,0.9517,0.4462,2.590109104205306
fullbackbone,0.2,2CRO,4,0.9265,0.4462,2.525653901269561
fullbackbone,0.2,2CRO,5,0.9997,0.4308,2.7174664662209587
fullbackbone,0.2,2CRO,6,1.006,0.4462,2.734640546507821
fullbackbone,0.2,2CRO,7,1.0309,0.4615,2.803587928722377
fullbackbone,0.2,2CRO,8,0.931,0.4308,2.5370449544725853
fullbackbone,0.2,2GB1,1,1.2416,0.375,3.461146871851507
fullbackbone,0.2,2GB1,2,1.2315,0.3036,3.4263652314025
fullbackbone,0.2,2GB1,3,1.2711,0.3036,3.5647716552800444
fullbackbone,0.2,2GB1,4,1.1568,0.2857,3.179741804683626
fullbackbone,0.2,2GB1,5,1.1283,0.25,3.0903983547643925
fullbackbone,0.2,2GB1,6,1.0604,0.3214,2.8875257686041356
fullbackbone,0.2,2GB1,7,1.1306,0.3036,3.097514451354417
fullbackbone,0.2,2GB1,8,1.1307,0.3214,3.097824218287641
fullbackbone,0.2,2LZM,1,0.983,0.6098,2.672461612707345
fullbackbone,0.2,2LZM,2,0.9527,0.6098,2.5927005087958563
fullbackbone,0.2,2LZM,3,1.0779,0.5793,2.938502212483969
fullbackbone,0.2,2LZM,4,0.984,0.5854,2.6751354109963805
fullbackbone,0.2,2LZM,5,1.0564,0.5427,2.8759987349663687
fullbackbone,0.2,2LZM,6,1.0543,0.5488,2.8699654747633754
fullbackbone,0.2,2LZM,7,1.0187,0.5366,2.769591953105598
fullbackbone,0.2,2LZM,8,1.011,0.5671,2.7483479892901554
fullbackbone,0.2,2PCY,1,1.0877,0.4242,2.9674411031232264
fullbackbone,0.2,2PCY,2,1.2177,0.4646,3.3794061540808564
fullbackbone,0.2,2PCY,3,1.0092,0.4949,2.7434054125629834
fullbackbone,0.2,2PCY,4,0.9466,0.5758,2.5769331749522686
fullbackbone,0.2,2PCY,5,1.0138,0.5354,2.756054147246618
fullbackbone,0.2,2PCY,6,0.9871,0.5051,2.6834411980889126
fullbackbone,0.2,2PCY,7,1.1015,0.4747,3.0086756543596067
fullbackbone,0.2,2PCY,8,0.9592,0.5051,2.609607951764431
fullbackbone,0.2,2PTL,1,1.4991,0.2308,4.477657364714432
fullbackbone,0.2,2PTL,2,1.4814,0.2308,4.399100111968554
fullbackbone,0.2,2PTL,3,1.3862,0.1795,3.99962257332792
fullbackbone,0.2,2PTL,4,1.3163,0.2051,3.7295963103109484
fullbackbone,0.2,2PTL,5,1.3338,0.1923,3.7954386861865776
fullbackbone,0.2,2PTL,6,1.2325,0.2436,3.4297933103877214
fullbackbone,0.2,2PTL,7,1.3972,0.2051,4.043861288495134
fullbackbone,0.2,2PTL,8,1.411,0.1538,4.100053408135779
fullbackbone,0.2,3CHY,1,1.0358,0.4531,2.817359221686829
fullbackbone,0.2,3CHY,2,1.0216,0.4766,2.777635427169864
fullbackbone,0.2,3CHY,3,1.0568,0.4609,2.8771493645709345
fullbackbone,0.2,3CHY,4,1.0209,0.4297,2.7756917627327637
fullbackbone,0.2,3CHY,5,1.096,0.4844,2.9921733611664205
fullbackbone,0.2,3CHY,6,1.0654,0.4766,2.9019995517513215
fullbackbone,0.2,3CHY,7,1.0321,0.3984,2.8069542536278287
fullbackbone,0.2,3CHY,8,1.02,0.4375,2.7731947639642978
fullbackbone,0.2,3PGK,1,1.3422,0.2145,3.8274546499446833
fullbackbone,0.2,3PGK,2,1.3395,0.2048,3.817134460914537
fullbackbone,0.2,3PGK,3,1.4083,0.2289,4.088998195187335
fullbackbone,0.2,3PGK,4,1.2851,0.2024,3.6150294420871116
fullbackbone,0.2,3PGK,5,1.3318,0.2024,3.7878553946335214
fullbackbone,0.2,3PGK,6,1.3558,0.2024,3.8798636062928744
fullbackbone,0.2,3PGK,7,1.3392,0.2096,3.8159894923301376
fullbackbone,0.2,3PGK,8,1.3685,0.2169,3.929452094483995
fullbackbone,0.2,4HHB,1,0.997,0.4739,2.7101392030187967
fullbackbone,0.2,4HHB,2,1.0166,0.453,2.7637819126817114
fullbackbone,0.2,4HHB,3,1.0567,0.4634,2.8768616640197444
fullbackbone,0.2,4HHB,4,0.9929,0.4774,2.6990503799073866
fullbackbone,0.2,4HHB,5,0.9713,0.4652,2.6413760171806224
fullbackbone,0.2,4HHB,6,0.9964,0.4669,2.7085136072244915
fullbackbone,0.2,4HHB,7,1.0432,0.4878,2.838285009852264
fullbackbone,0.2,4HHB,8,1.0161,0.4826,2.762400367140538
fullbackbone,0.3,1AKI,1,1.3394,0.4651,3.8167527665534817
fullbackbone,0.3,1AKI,2,1.3591,0.4729,3.892688305308605
fullbackbone,0.3,1AKI,3,1.3198,0.4806,3.7426727678488474
fullbackbone,0.3,1AKI,4,1.3153,0.4806,3.7258685781773484
fullbackbone,0.3,1AKI,5,1.2792,0.5581,3.593763564406686
fullbackbone,0.3,1AKI,6,1.315,0.4884,3.724750985251216
fullbackbone,0.3,1AKI,7,1.216,0.4651,3.3736660440948167
fullbackbone,0.3,1AKI,8,1.2441,0.5116,3.4698105641341495
fullbackbone,0.3,1BPI,1,1.3353,0.4828,3.801136116220114
fullbackbone,0.3,1BPI,2,1.6946,0.3966,5.444467742500299
fullbackbone,0.3,1BPI,3,1.4366,0.3793,4.206369819215701
fullbackbone,0.3,1BPI,4,1.656,0.3966,5.238315619512605
fullbackbone,0.3,1BPI,5,1.3452,0.3966,3.838954254676913
fullbackbone,0.3,1BPI,6,1.373,0.431,3.947174474357382
fullbackbone,0.3,1BPI,7,1.4817,0.4483,4.400420039981447
fullbackbone,0.3,1BPI,8,1.4712,0.4483,4.354457355934273
fullbackbone,0.3,1CRN,1,1.0834,0.5435,2.954708501092973
fullbackbone,0.3,1CRN,2,1.2896,0.5,3.6313337317146868
fullbackbone,0.3,1CRN,3,1.3224,0.5,3.7524163782498756
fullbackbone,0.3,1CRN,4,1.1264,0.4348,3.0845321725282075
fullbackbone,0.3,1CRN,5,1.4078,0.4783,4.086954207129338
fullbackbone,0.3,1CRN,6,1.2789,0.5652,3.592685597040554
fullbackbone,0.3,1CRN,7,1.4633,0.3913,4.320192666550213
fullbackbone,0.3,1CRN,8,1.2467,0.4348,3.4788438097314467
fullbackbone,0.3,1CSP,1,1.4524,0.403,4.273358277603138
fullbackbone,0.3,1CSP,2,1.3813,0.4776,3.980072359858316
fullbackbone,0.3,1CSP,3,1.4936,0.4925,4.453097849784971
fullbackbone,0.3,1CSP,4,1.4146,0.3731,4.114840200661883
fullbackbone,0.3,1CSP,5,1.3837,0.4179,3.9896360053059636
fullbackbone,0.3,1CSP,6,1.3877,0.4328,4.005626509013937
fullbackbone,0.3,1CSP,7,1.3718,0.4478,3.942440705817329
fullbackbone,0.3,1CSP,8,1.3211,0.4776,3.7475414063764267
fullbackbone,0.3,1ENH,1,1.1787,0.3704,3.25014626518086
fullbackbone,0.3,1ENH,2,1.3523,0.3704,3.866307820134822
fullbackbone,0.3,1ENH,3,1.4431,0.3333,4.233800275445352
fullbackbone,0.3,1ENH,4,1.3749,0.3704,3.9546812350230094
fullbackbone,0.3,1ENH,5,1.3726,0.3889,3.945595920299498
fullbackbone,0.3,1ENH,6,1.4666,0.3333,4.334472851696053
fullbackbone,0.3,1ENH,7,1.4717,0.3519,4.356635129010139
fullbackbone,0.3,1ENH,8,1.3982,0.2963,4.0479071723884195
fullbackbone,0.3,1FKB,1,1.3854,0.5421,3.996424154807247
fullbackbone,0.3,1FKB,2,1.3651,0.5421,3.9161146438771888
fullbackbone,0.3,1FKB,3,1.6678,0.4112,5.300493874051293
fullbackbone,0.3,1FKB,4,1.295,0.4393,3.6509959741412716
fullbackbone,0.3,1FKB,5,1.3176,0.4953,3.7344479383893328
fullbackbone,0.3,1FKB,6,1.348,0.4579,3.8497183893459788
fullbackbone,0.3,1FKB,7,1.4955,0.486,4.461566778634233
